"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MGLL",9730.39011350853,-30,2.95661516433917,-10.1467381896167,3.42623863715871e-24,5.99422959013005e-23
"INA",7405.51003279777,-30,2.9566157480963,-10.1467361862347,3.42630894967675e-24,5.99422959013005e-23
"TRMT61B",6838.89839085168,-30,2.95661595051773,-10.1467354915496,3.4263333313086e-24,5.99422959013005e-23
"PIGS",4992.76869368679,-30,2.95661692876371,-10.1467321343331,3.42645116327122e-24,5.99422959013005e-23
"KIF1B",2096.30024301771,-30,2.95662193584659,-10.1467149506925,3.42705433947144e-24,5.99422959013005e-23
"VPS51",2844.3246347974,29.6115992206531,2.95661767559828,10.0153629821824,1.30482045045021e-23,2.26850109638512e-22
"LAMB1",17521576.6158799,-1.13231863745453,0.161701111261617,-7.00254085219333,2.51361556351253e-12,4.34388893191447e-11
"VTN",72949561.5300298,1.66905162220121,0.242110036432839,6.89377295874393,5.43317153186037e-12,9.33341252437443e-11
"PITRM1",4472750.02723582,1.76426033297459,0.283778417665261,6.21703492284487,5.06637036796376e-10,8.65180170529196e-09
"APOE",112437516.251057,3.59721292421553,0.595191354129842,6.0437923018465,1.50533273477183e-09,2.55552368973618e-08
"MYOM1",118257004.619253,-0.617247096049533,0.104004740141867,-5.93479773333006,2.94207977582931e-09,4.96540481464526e-08
"MYOM3",69966190.3078561,-0.571618431360986,0.103230238838059,-5.53731578842613,3.07142466582632e-08,5.15356487533416e-07
"HEL-S-92n",259665201.544146,1.40478457712901,0.2678841667722,5.2440000245464,1.57132178053646e-07,2.62129171018972e-06
"CASQ2",184649085.563059,-0.958670450660996,0.193655677638319,-4.95038649190268,7.40662453205274e-07,1.22847806893702e-05
"CAPN2",4010852.71583419,0.97953384029137,0.210703916063461,4.64886395370245,3.3376826071365e-06,5.5043154309691e-05
"OXCT1",268809845.599465,0.70808302330818,0.153005585535949,4.62782466945834,3.69526647174789e-06,6.05939718037751e-05
"SMYD1",43641479.893115,-0.686519452578136,0.148742027972016,-4.6155041849187,3.9214213846783e-06,6.39391080010259e-05
"LAMC1",82511187.9087285,-0.452590373633393,0.0989322717576619,-4.57474963015131,4.76789814011989e-06,7.7304236137e-05
"TMOD1",72190005.6731657,-0.525700058428875,0.115124078898048,-4.56637797636087,4.96223673998808e-06,8.00056716849475e-05
"TPM2",376175424.082879,-0.744863047497392,0.165680914889113,-4.49576855605798,6.93191052070898e-06,0.000111141632015367
"SPTAN1",46212112.5604259,-0.373901088135456,0.084513428096933,-4.42416189420938,9.68173993283133e-06,0.000154372936166581
"OBSCN",12913398.4066527,-0.565129697057705,0.127862764384638,-4.41981447669688,9.87856710674727e-06,0.000156645849835564
"GJA1",39468993.3586811,-0.786089002472769,0.178914302550823,-4.39366216822978,1.11456976174538e-05,0.000175773132917878
"NID1",33978547.3665469,-0.70050665016827,0.161025229980143,-4.35029125718159,1.35956825833286e-05,0.000213245325736339
"GPD1L",43707736.1701269,1.08573787709745,0.249972275154601,4.34343319244485,1.40273148396746e-05,0.000218826111498923
"HRC",21252090.9544142,-0.626290625074944,0.146074647889311,-4.28746968843985,1.80719908474537e-05,0.000280407341858878
"ACTN2",1096262993.74281,-0.56320423683269,0.131927476719665,-4.26904425701594,1.96312318567274e-05,0.000302971845660509
"RYR2",8596242.40855437,-0.496718391485098,0.11689440829138,-4.24929129413051,2.14447904633944e-05,0.00032920034721998
"SRL",95813802.4344845,-0.803939255665685,0.1901407636077,-4.22812678571323,2.35644999609752e-05,0.000359826174007273
"YWHAQ",35896016.300455,0.772089804248408,0.185753155810449,4.15653667298274,3.23108326532446e-05,0.000490784542301389
"IDH3A",114409582.938786,0.550823654103901,0.132605783334423,4.1538433713314,3.26937005000246e-05,0.000494000102843303
"MYOZ2",397210329.384615,-0.643789558582664,0.157863963389635,-4.07812869232025,4.5399636038094e-05,0.0006824132791976
"CAMK2D",20131062.0126015,-0.710710308507754,0.174712061061262,-4.06789493633496,4.74397608738528e-05,0.000709384196279478
"YWHAZ",230216904.494582,0.321841696706737,0.0795271539730622,4.04694095825122,5.18913231126656e-05,0.000771950301562643
"ERLIN2",3975689.55471714,-1.00284440677396,0.248533642335369,-4.03504490317948,5.45918562742929e-05,0.000807959472859536
"IMMT",146657009.558143,-0.260613203784978,0.065356223762713,-3.98758050543401,6.67505568957315e-05,0.000982867893883067
"HEL-S-78p",71817406.4241094,0.992091445465728,0.248970371806665,3.98477713740221,6.75434868166461e-05,0.000987373534504086
"HEL-S-123m",1688864682.07159,-0.267992478273437,0.0672657637888657,-3.98408437187472,6.77408038225257e-05,0.000987373534504086
"EHD3",1695377.58737929,1.66353773217191,0.41861962137226,3.97386469061992,7.07157463104895e-05,0.00102555599925665
"NDUFS3",202526304.927743,-0.333139432943977,0.0844042159074833,-3.94695252319074,7.91522448989209e-05,0.00114216689389143
"CANX",38906843.1449588,-0.488556850470683,0.123967461454258,-3.94100875132426,8.11396655526083e-05,0.00116502027256133
"LGALS3BP",23272448.7404407,-1.30487123201775,0.33244731031115,-3.92504674138129,8.67128990965414e-05,0.00123887835045851
"TLN2",6204444.47508002,-0.748809754232229,0.190856642308107,-3.92341469061055,8.73026880770823e-05,0.00124116038320423
"RAB11B",23582585.678266,0.616100480625913,0.158249301119691,3.89322718183714,9.89194357048753e-05,0.00139941907570721
"NEBL",125503523.786887,-0.421308194262686,0.109272309478135,-3.85558057914928,0.000115455291788236,0.00162538522976024
"PCYOX1",17452464.231405,-0.657992814039047,0.172362271408128,-3.81749908877111,0.00013481128499457,0.00188866683735111
"11-Sep",6674311.91221575,0.820778685533488,0.215886647654199,3.80189647878636,0.000143592726736897,0.00200197395827385
"CDH13",47598274.3064117,-0.615609904659016,0.162633373070244,-3.78526186253988,0.000153546808486868,0.00213046196775529
"SMTN",9241080.88505264,-2.65830224916807,0.704588015012743,-3.77284624848464,0.000161395755060968,0.00222865143112896
"TAGLN2",51281843.7931144,0.775675620342075,0.205677613609706,3.77131767881165,0.00016238778349167,0.00223167211027123
"NAPA",15136179.609252,-0.778112707505239,0.206674333550472,-3.76492181751836,0.000166601201989309,0.00227872544521871
"FGA",70745388.6879095,1.09487620895902,0.293430220620218,3.73130009119309,0.000190494141904282,0.00259323629026301
"CD59",225794878.797956,-0.420026882202483,0.11266144400507,-3.72822207199459,0.000192835418730867,0.00261278412421259
"ARHGAP1",18502224.9937718,0.828382421518399,0.222472015028664,3.72353539123412,0.000196452307353432,0.00264935214496263
"HEL-S-271",1544117343.04303,-0.277232813555201,0.0747674328355081,-3.70793543447086,0.000208955913493885,0.00280486868066676
"PFKM",104948555.110075,-0.650394368699985,0.176154362374101,-3.69218428618155,0.000222336259212525,0.00297065946336734
"FAM129A",25258743.6776753,-0.727655114725825,0.197472909901532,-3.68483512542892,0.000228850733348307,0.00304360929236505
"FN1",32755334.8005083,1.35718247488124,0.36877408955629,3.68025442490878,0.000233001357978293,0.00308459595929061
"JPH2",10824178.5008213,-0.639079638131099,0.173718184211748,-3.67882983022731,0.000234306533056845,0.00308771075069431
"UQCRC1",522704941.838849,-0.394815340799302,0.107500064827477,-3.67269862983737,0.000240002467919188,0.00314839601097626
"NHLRC2",4558093.92040616,0.964125915945908,0.265170481309918,3.63587195370772,0.000277041928815118,0.00361784165864448
"FTH1",80087588.2405576,0.974468650504162,0.269056872795756,3.621794308313,0.000292566710476472,0.00380336723619413
